Food Item,Qty,Calories(KCal)
Aloo_Fry,1 katori,220
Banana_Chips,30g,147
Bhindi,1cup,196
Dhokla,30gm,100
Dosa,1 small,100
Idli,57g(1 small),76
Jalebi,1 No.,100
Pav_Bhaji,1 plate,200
Rasgulla,30gm (1no.),100
Samosa,1 small (46gm),139
Appam,72gm( 1 small),78
Idiyappam,60gm(1 small),67
Chapathi,40g(1small),100
Parotta,2 pc small,230
Pongal,1 katori,200
Upma,½ katori,100
Phulka,30g(1 medium),73
Curd rice,½ katori,100
Bread(white),1 slice,76
cornflakes,3/4cup,70
Sweet pongal,2tsp,100
Vegetable noodles,1katori,100
Poori,1(33gm),104
Naan-plain,1,150
Rice puttu,1/4cup(27gm),76
Aloo paratha,½ small(39g),95
Kitchadi,1/4cup (46gm),107
Saboodana kitchadi,100,199
Masala dosa,1,250
Puloa,½ cup,103
Unniappam,1,71
Sevaiya,60gm(Meethi seviyan),110
Aloo Dum,140gm,240
Ariselu,1 medium,210
Sambar,3/4cup,101
Avial,1/3 cup(70g),62
Bagara Baingan,100,380
Boondi raita,25g,140
Beetroot cutlet,1,75
Aam papad,10gm,155
Chakri/Muruku,20gm,100
Chole,½ katori,100
Dahi vada,1,364
Egg bhurji,250gm (home made),305
Omlette,1,120
Fried rice,1 cup,150
Gajar ka halwa,100,331
Gujiya,1pc(50),200
Gulab Jamun,25g(1no.),100
Jaljeera,1 glass,69
Kachori,1 pc(20gm),83
Mysorepak,30,100
Kaju barfi,1pc,92
Keerai kootu,½ cup,30
Kesari,1.5tsp,100
Khaja,1No.,105
Yela adai,75,100
Khandvi,120gms(Homemade),109
Kulfi,1 pc,140
Mirchi bajii,1 medium,142
Modak (sweet),50gm,100
Kerala chips,1cup,351
Pakoda,50gm,100
Motichoor laddoo,33gm,126
Palak paneer,100gm( Homemade),110
Paneer butter masala,100gm,230
Stuffed capsicum,1 whole,109
Vegetable kurma,1/4cup,50
Vegetable kofta,1/4cup,54
Tandoor chicken,100gm,125
Rajma,1/3 cup,89
Petha,1 pc (70g),100
Pomfret fry,100gms,150
Putharekulu,4 roll,287
Ulundu Vada,1,73
Fried nuts,1 cup,300
Dal vada,30gm,200
Rasamalai,1 cup,220
Bhel puri,1 cup,280
Panipuri,1 plate,125
Fried papad,1,43
Icecream,½ cup,90
Pudding,1/4cup,80
Dal tadka,150gm,104
Coffee,150ml,120
Tea,150ml,100
Curd,½ cup,100
Plain cake,24gm,84
Lassi,100ml,75
Milk shake,1 glass,200
Cream Buiscuit,2,84
